idRating,userId,movieId,rating,timestamp,title,year,genres,name,lastname,age,imdb,themoviedb
0,1,307,3.5,1256677221,Three Colors: Blue (Trois couleurs: Bleu),1993,Drama,Liam,Smith,52,http://www.imdb.com/title/tt0108394/,https://www.themoviedb.org/movie/108
1,1,481,3.5,1256677456,Kalifornia,1993,Drama|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0107302/,https://www.themoviedb.org/movie/10909
2,1,1091,1.5,1256677471,Weekend at Bernie's,1989,Comedy,Liam,Smith,52,http://www.imdb.com/title/tt0098627/,https://www.themoviedb.org/movie/8491
3,1,1257,4.5,1256677460,Better Off Dead...,1985,Comedy|Romance,Liam,Smith,52,http://www.imdb.com/title/tt0088794/,https://www.themoviedb.org/movie/13667
4,1,1449,4.5,1256677264,Waiting for Guffman,1996,Comedy,Liam,Smith,52,http://www.imdb.com/title/tt0118111/,https://www.themoviedb.org/movie/16448
5,1,1590,2.5,1256677236,Event Horizon,1997,Horror|Sci-Fi|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0119081/,https://www.themoviedb.org/movie/8413
6,1,1591,1.5,1256677475,Spawn,1997,Action|Adventure|Sci-Fi|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0120177/,https://www.themoviedb.org/movie/10336
7,1,2134,4.5,1256677464,Weird Science,1985,Comedy|Fantasy|Sci-Fi,Liam,Smith,52,http://www.imdb.com/title/tt0090305/,https://www.themoviedb.org/movie/11814
8,1,2478,4,1256677239,¡Three Amigos!,1986,Comedy|Western,Liam,Smith,52,http://www.imdb.com/title/tt0092086/,https://www.themoviedb.org/movie/8388
9,1,2840,3,1256677500,Stigmata,1999,Drama|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0145531/,https://www.themoviedb.org/movie/10307
10,1,2986,2.5,1256677496,RoboCop 2,1990,Action|Crime|Sci-Fi|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0100502/,https://www.themoviedb.org/movie/5549
11,1,3020,4,1256677260,Falling Down,1993,Action|Drama,Liam,Smith,52,http://www.imdb.com/title/tt0106856/,https://www.themoviedb.org/movie/37094
12,1,3424,4.5,1256677444,Do the Right Thing,1989,Drama,Liam,Smith,52,http://www.imdb.com/title/tt0097216/,https://www.themoviedb.org/movie/925
13,1,3698,3.5,1256677243,Running Man,1987,Action|Sci-Fi,Liam,Smith,52,http://www.imdb.com/title/tt0093894/,https://www.themoviedb.org/movie/865
14,1,3826,2,1256677210,Hollow Man,2000,Horror|Sci-Fi|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0164052/,https://www.themoviedb.org/movie/9383
15,1,3893,3.5,1256677486,Nurse Betty,2000,Comedy|Crime|Drama|Romance|Thriller,Liam,Smith,52,http://www.imdb.com/title/tt0171580/,https://www.themoviedb.org/movie/10480
16,6,307,4,832059248,Three Colors: Blue (Trois couleurs: Bleu),1993,Drama,William,Smith,60,http://www.imdb.com/title/tt0108394/,https://www.themoviedb.org/movie/108
17,6,170,3,832059191,Hackers,1995,Action|Adventure|Crime|Thriller,William,Smith,60,http://www.imdb.com/title/tt0113243/,https://www.themoviedb.org/movie/10428
