idRating,userId,movieId,rating,timestamp,title,year,genres,name,lastname,age
2000,214,1711,4,983024254,Midnight in the Garden of Good and Evil,1997,Crime|Drama|Mystery,Patrick,Smith,17
2001,214,1912,3,998925869,Out of Sight,1998,Comedy|Crime|Drama|Romance|Thriller,Patrick,Smith,17
2002,214,2289,4,981198396,Player,1992,Comedy|Crime|Drama,Patrick,Smith,17
2003,214,2336,4,1081515346,Elizabeth,1998,Drama,Patrick,Smith,17
2004,214,2404,2,983030511,Rambo III,1988,Action|Adventure|Thriller|War,Patrick,Smith,17
2005,214,2671,2,983022827,Notting Hill,1999,Comedy|Romance,Patrick,Smith,17
2006,214,3362,4,1162667482,Dog Day Afternoon,1975,Crime|Drama,Patrick,Smith,17
2007,214,3418,4,981199161,Thelma & Louise,1991,Adventure|Crime|Drama,Patrick,Smith,17
2008,214,4349,4,1142971369,Catch-22,1970,Comedy|War,Patrick,Smith,17
2009,214,5791,4,1129662997,Frida,2002,Drama|Romance,Patrick,Smith,17
2010,214,5971,3,1155756065,My Neighbor Totoro (Tonari no Totoro),1988,Animation|Children|Drama|Fantasy,Patrick,Smith,17
2011,214,7419,3,1114976404,After Hours,1985,Comedy|Thriller,Patrick,Smith,17
2012,214,1298,3,983021736,Pink Floyd: The Wall,1982,Drama|Musical,Patrick,Smith,17
2013,214,1499,2,983030273,Anaconda,1997,Action|Adventure|Thriller,Patrick,Smith,17
2014,214,1717,3,983026970,Scream 2,1997,Comedy|Horror|Mystery|Thriller,Patrick,Smith,17
2015,214,2340,3,1150644278,Meet Joe Black,1998,Romance,Patrick,Smith,17
2016,214,2409,2,983028279,Rocky II,1979,Action|Drama,Patrick,Smith,17
2017,214,2411,2,983030161,Rocky IV,1985,Action|Drama,Patrick,Smith,17
2018,214,5881,3,1145223395,Solaris,2002,Drama|Romance|Sci-Fi,Patrick,Smith,17
2019,214,7325,4,1081516060,Starsky & Hutch,2004,Action|Comedy|Crime|Thriller,Patrick,Smith,17
